route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
114-2063,114,"Tarragindi - City",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/114,8DC63F,000000
114-2143,114,"Tarragindi - City",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/114,8DC63F,000000
115-2063,115,"Calamvale - City via Acacia Ridge Express",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/115,8DC63F,000000
115-2143,115,"Calamvale - City via Acacia Ridge Express",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/115,8DC63F,000000
116-2063,116,"Rocklea - City/Valley",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/116,8DC63F,000000
116-2143,116,"Rocklea - City/Valley",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/116,8DC63F,000000
117-2063,117,"Acacia Ridge - Woollongabba",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/117,8DC63F,000000
117-2143,117,"Acacia Ridge - Woollongabba",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/117,8DC63F,000000
118-2063,118,"Forest Lake - City",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/118,8DC63F,000000
118-2143,118,"Forest Lake - City",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/118,8DC63F,000000
120-2063,120,"Garden City - City via Tarragindi",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/120,8DC63F,000000
120-2143,120,"Garden City - City via Tarragindi",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/120,8DC63F,000000
121-2063,121,"Salisbury - City/Valley",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/121,8DC63F,000000
121-2143,121,"Salisbury - City/Valley",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/121,8DC63F,000000
122-2063,122,"Inala - Garden City",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/122,8DC63F,000000
122-2143,122,"Inala - Garden City",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/122,8DC63F,000000
123-2063,123,"Griffith University - Garden City",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/123,8DC63F,000000
123-2143,123,"Griffith University - Garden City",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/123,8DC63F,000000
124-2063,124,"Sunnybank - City/Valley",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/124,8DC63F,000000
124-2143,124,"Sunnybank - City/Valley",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/124,8DC63F,000000
125-2063,125,"Garden City - City/Valley via Salisbury",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/125,8DC63F,000000
125-2143,125,"Garden City - City/Valley via Salisbury",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/125,8DC63F,000000
126-2063,126,"Acacia Ridge - Sunnybank Plaza",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/126,8DC63F,000000
126-2143,126,"Acacia Ridge - Sunnybank Plaza",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/126,8DC63F,000000
130-2063,130,"Parkinson - City",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/130,8DC63F,000000
130-2143,130,"Parkinson - City",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/130,8DC63F,000000
131-2063,131,"Parkinson - City via Hellawell Rd",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/131,8DC63F,000000
131-2143,131,"Parkinson - City via Hellawell Rd",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/131,8DC63F,000000
132-2063,132,"Parkinson/Algester - Garden City",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/132,8DC63F,000000
132-2143,132,"Parkinson/Algester - Garden City",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/132,8DC63F,000000
135-2063,135,"Parkinson - City Express",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/135,8DC63F,000000
135-2143,135,"Parkinson - City Express",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/135,8DC63F,000000
136-2063,136,"Parkinson - City Precincts",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/136,8DC63F,000000
136-2143,136,"Parkinson - City Precincts",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/136,8DC63F,000000
138-2063,138,"Algester - City",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/138,8DC63F,000000
138-2143,138,"Algester - City",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/138,8DC63F,000000
139-2063,139,"Sunnybank Hills - UQ Lakes",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/139,8DC63F,000000
139-2143,139,"Sunnybank Hills - UQ Lakes",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/139,8DC63F,000000
140-2063,140,"Browns Plains - City Express via Mains Road",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/140,8DC63F,000000
140-2143,140,"Browns Plains - City Express via Mains Road",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/140,8DC63F,000000
150-2063,150,"Browns Plains - City Express via Runcorn",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/150,8DC63F,000000
150-2143,150,"Browns Plains - City Express via Runcorn",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/150,8DC63F,000000
152-2063,152,"Stretton - Garden City",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/152,8DC63F,000000
152-2143,152,"Stretton - Garden City",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/152,8DC63F,000000
153-2063,153,"Drewvale - City Rocket",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/153,8DC63F,000000
153-2143,153,"Drewvale - City Rocket",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/153,8DC63F,000000
155-2063,155,"Calamvale - City Express via Griffith Uni",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/155,8DC63F,000000
155-2143,155,"Calamvale - City Express via Griffith Uni",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/155,8DC63F,000000
156-2063,156,"Stretton - City Rocket",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/156,8DC63F,000000
156-2143,156,"Stretton - City Rocket",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/156,8DC63F,000000
160-2063,160,"Garden City - City",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/160,8DC63F,000000
160-2143,160,"Garden City - City",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/160,8DC63F,000000
161-2063,161,"Wishart Outlook - City",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/161,8DC63F,000000
161-2143,161,"Wishart Outlook - City",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/161,8DC63F,000000
162-2063,162,"Eight Miles Plains - City Rocket",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/162,8DC63F,000000
162-2143,162,"Eight Miles Plains - City Rocket",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/162,8DC63F,000000
169-2063,169,"Eight Mile Plains - UQ Lakes",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/169,8DC63F,000000
169-2143,169,"Eight Mile Plains - UQ Lakes",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/169,8DC63F,000000
170-2063,170,"Garden City - City Express via Newnham Road",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/170,8DC63F,000000
170-2143,170,"Garden City - City Express via Newnham Road",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/170,8DC63F,000000
171-2063,171,"Garden City - City/Valley Rocket via Newnham Road",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/171,8DC63F,000000
171-2143,171,"Garden City - City/Valley Rocket via Newnham Road",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/171,8DC63F,000000
172-2063,172,"Garden City - City via Greenslopes Hospital",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/172,8DC63F,000000
172-2143,172,"Garden City - City via Greenslopes Hospital",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/172,8DC63F,000000
174-2063,174,"Garden City - City/Valley via Newnham Road",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/174,8DC63F,000000
